1,67.505461,23428126,0
1,67.446122,23428126,0
1,67.486056,23428126,0
1,67.172048,23428126,0
1,67.678266,23428126,0
1,67.205675,23428126,0
1,67.118010,23428126,0
1,67.358206,23428126,0
2,53.037392,29420895,5992768
2,52.414978,29614239,6186112
2,52.009471,29379657,5951530
2,52.232895,29618177,6190050
2,52.234940,29661683,6233556
2,52.713024,29630512,6202385
2,51.739182,29606959,6178832
2,51.691466,29653284,6225157
3,39.635740,34753097,11324969
3,39.616581,34840134,11412006
3,39.917284,34899820,11471692
3,39.744546,34779238,11351110
3,39.790422,34908264,11480136
3,39.819419,34526916,11098788
3,39.797538,34806503,11378375
3,39.700091,34822532,11394404
4,35.449428,38747787,15319658
4,35.749828,38526118,15097989
4,35.442417,38334368,14906239
4,35.601343,38760077,15331948
4,35.026515,39382560,15954431
4,34.799560,38851050,15422921
4,34.573815,38980497,15552368
4,34.912544,38504387,15076258
5,31.522034,43334142,19906012
5,31.319574,42804680,19376550
5,31.469120,43144164,19716034
5,31.213072,42327162,18899032
5,31.918765,43074268,19646138
5,31.408067,43339159,19911029
5,31.395022,43199635,19771505
5,31.836667,,
6,29.223949,46413836,22985705
6,30.348918,45111530,21683399
6,29.921528,46180075,22751944
6,29.980883,46185135,22757004
6,29.880418,45526092,22097961
6,30.141538,45345532,21917401
6,30.088876,45824991,22396860
6,29.748647,45986385,22558254
7,29.511841,48559522,25131390
7,29.327758,48462089,25033957
7,29.726141,47947082,24518950
7,29.365850,48780945,25352813
7,29.173808,48338512,24910380
7,28.626505,49948336,26520204
7,28.886269,48162724,24734592
7,,,
8,31.815114,48625142,25197009
8,31.760447,48070968,24642835
8,30.939544,48815141,25387008
8,31.792752,48695039,25266906
8,32.007417,48386829,24958696
8,31.882682,49125932,25697799
8,31.527155,48834743,25406610
8,30.982858,49216125,25787992
9,35.553820,45474991,22046857
9,35.733571,45768279,22340145
9,36.367663,45508763,22080629
9,36.361790,45975886,22547752
9,36.161232,46196330,22768196
9,34.796473,46912743,23484609
9,,,
9,36.326349,46028037,22599903
10,43.079248,43834855,20406720
10,43.326132,43619904,20191769
10,41.542991,44332396,20904261
10,42.829092,43853325,20425190
10,42.381083,43522477,20094342
10,,,
10,41.920717,43916403,20488268
10,42.574955,43448943,20020808
11,49.164682,42008687,18580551
11,48.616375,41916890,18488754
